claim_id,status,manuscript_quote,location,actual_intervention,supporting_output,metric_formula,eligible_n,interval,permitted_wording,note
M01,MEASURED,(protocol) the audit and the behavioural readout use the same edit,"P1 pilot, results/v2/pilot_per_item.parquet, pilot_protocol.json","one hook implementation; rank-1 projection at every token of the demographic span, prefill only, every decoder layer, sequential source state; identity checks (alpha 0, rank 0, non-span positions untouched) pass exactly on all four models","pilot_per_item.parquet (24 dev seeds per model, 5 conditions)","mean |C| and generation validity per condition, chat format, demographic pairs",24 seeds x 4 models,"Llama-3.1-8B: unedited 0.141 -> span edit 0.110, last-token edit 0.168; validity 0.88 / 0.96 / 0.88; Qwen2.5-7B: unedited 0.761 -> span edit 0.639, last-token edit 0.646; validity 0.96 / 0.92 / 1.00; Gemma-2-2B: unedited 0.758 -> span edit 0.536, last-token edit 0.772; validity 0.88 / 0.79 / 0.58; Phi-4-mini: unedited 0.359 -> span edit 0.237, last-token edit 0.651; validity 0.92 / 0.96 / 0.33","The matched-position edit reduces mean |C| on every model with no loss of output validity. The legacy last-token edit raises |C| on Phi and Llama and collapses Phi's output validity to a third: a large part of the original 'damage' is output invalidity under a position-transferred edit, not accuracy loss.","Identity pairs give |C| = 0 exactly under the sequential convention; the frozen (legacy TransformerLens) source state gives up to 0.30, 1.18, 1.81, 0.75 on identity pairs, so it is not a null instrument."
M02,MEASURED,the erasure removes X per cent of the targeted signal,"P2 test phase, results/v2/p2_confirmatory.csv (C1, C3), p2_summary.csv","rank-1 centred-SVD projection at the demographic span, prefill only, every layer, alpha 1; 160 test seeds per model, fit on the FIT split only, mask-clean pairs","p2_confirmatory.csv; p2_summary.csv (pooled, demographic pairs)","D = mean over seeds of (|C_pre| - |C_post|), seed-cluster bootstrap 95%% CI; R = 1 - mean|C_post| / mean|C_pre|; Holm over the four confirmatory comparisons",160 seeds per model,"Llama-3.1-8B: D = +0.044 [+0.019, +0.072] (R = +28.1%), Holm p = 0.004 REJECT; vs random D = +0.039 [+0.014, +0.064], Holm p = 0.004 REJECT | Qwen2.5-7B: D = +0.076 [+0.004, +0.146] (R = +11.4%), Holm p = 0.140; vs random D = +0.064 [-0.007, +0.134], Holm p = 0.231 | Gemma-2-2B: D = +0.114 [+0.044, +0.186] (R = +16.7%), Holm p = 0.004 REJECT; vs random D = +0.109 [+0.038, +0.183], Holm p = 0.004 REJECT | Phi-4-mini: D = +0.113 [+0.059, +0.163] (R = +27.7%), Holm p = 0.002 REJECT; vs random D = +0.112 [+0.061, +0.160], Holm p = 0.002 REJECT","The matched-position erasure lowers the demographic dependence on all four models, by an amount whose Holm-corrected interval excludes zero on Gemma-2-2B, Llama-3.1-8B and Phi-4-mini and on Qwen2.5-7B at the uncorrected level only; rank-matched random subspaces remove nothing. Report D with its interval and R as the secondary normalised statistic; never the win rate.","The shipped 'removed' quantity was the win rate W = mean(|C_post| < |C_pre|); its test-phase value for the erasure is 0.54, 0.54, 0.59, 0.50, i.e. the null value, so it must not appear as a result."
M03,MEASURED,(rank ladder),"P2 test, p2_summary.csv","same edit at ranks 1, 2, 4 (exploratory beyond rank 1)",p2_summary.csv,as M02,160 seeds per model,"Llama-3.1-8B: rank 1 D = +0.044 [+0.019, +0.072], rank 4 D = +0.044 [+0.015, +0.070] (R +28.1% -> +27.6%), accuracy change at rank 4 +0.041 [+0.003, +0.081] | Qwen2.5-7B: rank 1 D = +0.076 [+0.004, +0.146], rank 4 D = +0.144 [+0.051, +0.242] (R +11.4% -> +21.7%), accuracy change at rank 4 +0.022 [-0.016, +0.062] | Gemma-2-2B: rank 1 D = +0.114 [+0.044, +0.186], rank 4 D = +0.181 [+0.095, +0.263] (R +16.7% -> +26.4%), accuracy change at rank 4 +0.062 [+0.019, +0.109] | Phi-4-mini: rank 1 D = +0.113 [+0.059, +0.163], rank 4 D = +0.119 [+0.061, +0.175] (R +27.7% -> +29.2%), accuracy change at rank 4 +0.044 [+0.006, +0.084]",Higher rank removes more on three of four models with no accuracy cost; state that ranks 2 and 4 are exploratory (the confirmatory comparisons are at rank 1).,
M04,MEASURED,"Task accuracy falls by 0.16 to 0.58, and the rate at which answers flip ... rises","P2 test, p2_confirmatory.csv (C2, C4), p2_summary.csv",same edit; canonical option mapping of the generated answer (identity mapped through the swap); attempted denominator; invalid outputs counted as failures,p2_confirmatory.csv; p2_summary.csv,"paired change in generation accuracy over seeds, bootstrap CI, Holm",160 seeds per model,"Llama-3.1-8B: generation accuracy change +0.025 [-0.003, +0.053], Holm p = 0.086; validity 0.99 -> 0.98 | Qwen2.5-7B: generation accuracy change +0.022 [-0.013, +0.056], Holm p = 0.376; validity 0.94 -> 0.96 | Gemma-2-2B: generation accuracy change +0.072 [+0.028, +0.119], Holm p = 0.002 REJECT; validity 0.93 -> 0.93 | Phi-4-mini: generation accuracy change +0.037 [-0.000, +0.078], Holm p = 0.144; validity 0.98 -> 0.99",Under the matched-position edit generation accuracy does not fall on any model; it rises on Gemma-2-2B with a Holm-corrected interval excluding zero and is unchanged within its interval on the other three. The original accuracy losses must not be reported.,
M05,MEASURED,LEACE ... (comparison methods),"P2 test, p2_summary.csv","official concept-erasure LEACE applied as its exact affine map at the span (frozen fit, and sequential concept scrubbing); random orthonormal subspaces of matched rank; neutral-contrast basis; mean-difference direction",p2_summary.csv; p2_basis_manifest_*.json,as M02,160 seeds per model,"Llama-3.1-8B: LEACE frozen D = +0.011 [-0.003, +0.026]; LEACE sequential D = +0.009 [-0.007, +0.027]; random D = +0.003 [-0.009, +0.015]; neutral D = +0.007 [-0.006, +0.021]; mean-diff D = +0.007 [-0.007, +0.023] | Qwen2.5-7B: LEACE frozen D = -0.004 [-0.029, +0.020]; LEACE sequential D = +0.023 [-0.005, +0.049]; random D = +0.012 [-0.013, +0.037]; neutral D = +0.003 [-0.025, +0.030]; mean-diff D = -0.014 [-0.043, +0.013] | Gemma-2-2B: LEACE frozen D = -0.006 [-0.040, +0.028]; LEACE sequential D = -0.020 [-0.055, +0.016]; random D = -0.006 [-0.038, +0.025]; neutral D = +0.019 [-0.016, +0.053]; mean-diff D = -0.015 [-0.062, +0.030] | Phi-4-mini: LEACE frozen D = +0.007 [-0.023, +0.036]; LEACE sequential D = -0.000 [-0.029, +0.027]; random D = -0.002 [-0.031, +0.025]; neutral D = +0.031 [-0.004, +0.066]; mean-diff D = -0.002 [-0.032, +0.029]","At the demographic span, faithful LEACE under either fitting protocol, random subspaces, the neutral-contrast basis and the mean-difference direction all leave the commutator essentially unchanged; the erasure's effect is specific to the intervention-selected direction.",
M06,MEASURED,(external capability under a GLOBAL application policy),"P2 test, p2_capability.parquet (capability_policy = all, site = all)","the SAME bases applied at EVERY token position (prefill and decoding) on 200 MMLU test questions and 20,000 WikiText-2 tokens, because external prompts have no demographic span",p2_capability.parquet,"MMLU accuracy (option log-likelihood, n = 200); WikiText-2 perplexity over 20k tokens in 1024-token windows; single deterministic pass",200 questions; 20k tokens; one pass (no interval),"Llama-3.1-8B: erasure r1 MMLU 0.715 -> 0.685, ppl 7.7 -> 9.6 (+24%); erasure r4 MMLU 0.715 -> 0.645, ppl 7.7 -> 14.5 (+88%); LEACE MMLU 0.715 -> 0.685, ppl 7.7 -> 8.8 (+14%); random MMLU 0.715 -> 0.710, ppl 7.7 -> 7.9 (+2%) | Qwen2.5-7B: erasure r1 MMLU 0.770 -> 0.685, ppl 7.2 -> 18.5 (+157%); erasure r4 MMLU 0.770 -> 0.605, ppl 7.2 -> 37.3 (+417%); LEACE MMLU 0.770 -> 0.770, ppl 7.2 -> 7.9 (+10%); random MMLU 0.770 -> 0.760, ppl 7.2 -> 7.3 (+1%) | Gemma-2-2B: erasure r1 MMLU 0.550 -> 0.295, ppl 17.6 -> 98.9 (+463%); erasure r4 MMLU 0.550 -> 0.220, ppl 17.6 -> 1670.6 (+9409%); LEACE MMLU 0.550 -> 0.545, ppl 17.6 -> 18.7 (+7%); random MMLU 0.550 -> 0.555, ppl 17.6 -> 17.8 (+2%) | Phi-4-mini: erasure r1 MMLU 0.720 -> 0.230, ppl 10.1 -> 4280.0 (+42342%); erasure r4 MMLU 0.720 -> 0.220, ppl 10.1 -> 188115.9 (+1865331%); LEACE MMLU 0.720 -> 0.610, ppl 10.1 -> 14.4 (+43%); random MMLU 0.720 -> 0.730, ppl 10.1 -> 11.0 (+9%)","Applied everywhere, the same direction is destructive: MMLU falls and perplexity rises by orders of magnitude on Phi-4-mini and Gemma-2-2B, less on Qwen2.5-7B, least on Llama-3.1-8B; random subspaces applied everywhere change neither. Faithful LEACE applied everywhere is mild. State this as the resolution of the original finding: the damage is a property of the application site, not of the direction.",No interval: one deterministic pass per probe.
M07,MEASURED,(magnitude account),"P3 magnitude, results/v2/p3_magnitude_summary.csv","targeted edit vs random subspace with strength matched to the same removed activation energy on dev, frozen for test",p3_magnitude_summary.csv,"option-scoring accuracy loss and |C| change vs unedited, seed-cluster bootstrap",160 test seeds per model,"Llama-3.1-8B: targeted |C| change -0.044 [-0.072, -0.019], accuracy loss -0.152 [-0.203, -0.105]; energy-matched random |C| change -0.003 [-0.015, +0.009], accuracy loss +0.003 [-0.006, +0.016] | Qwen2.5-7B: targeted |C| change -0.076 [-0.146, -0.004], accuracy loss -0.019 [-0.060, +0.022]; energy-matched random |C| change -0.012 [-0.037, +0.013], accuracy loss +0.009 [-0.009, +0.028] | Gemma-2-2B: targeted |C| change -0.114 [-0.186, -0.044], accuracy loss -0.133 [-0.186, -0.083]; energy-matched random |C| change +0.006 [-0.025, +0.038], accuracy loss -0.006 [-0.016, -0.000] | Phi-4-mini: targeted |C| change -0.113 [-0.163, -0.059], accuracy loss -0.098 [-0.147, -0.054]; energy-matched random |C| change +0.002 [-0.025, +0.031], accuracy loss +0.003 [-0.016, +0.022]","An energy-matched random subspace neither reduces |C| nor changes accuracy, so the effect is not a generic perturbation-size effect. Negative 'accuracy loss' is a gain: option-scoring accuracy rises under the targeted edit on three models.",
M08,MEASURED,(depth / sequential fitting),"P3 depth, p3_depth_summary.csv",bases fitted on unedited activations (frozen) vs refitted layer by layer on already-edited activations (sequential); early / middle / late blocks as diagnostics,p3_depth_summary.csv,as M07,160 test seeds per model,"Llama-3.1-8B: frozen |C| change -0.044 [-0.072, -0.019], accuracy loss -0.152 [-0.203, -0.105]; sequential |C| change -0.042 [-0.064, -0.022], accuracy loss -0.028 [-0.057, -0.003] | Qwen2.5-7B: frozen |C| change -0.076 [-0.146, -0.004], accuracy loss -0.019 [-0.060, +0.022]; sequential |C| change -0.077 [-0.146, -0.007], accuracy loss +0.035 [-0.009, +0.076] | Gemma-2-2B: frozen |C| change -0.114 [-0.186, -0.044], accuracy loss -0.133 [-0.186, -0.083]; sequential |C| change -0.118 [-0.183, -0.045], accuracy loss -0.051 [-0.088, -0.013] | Phi-4-mini: frozen |C| change -0.113 [-0.163, -0.059], accuracy loss -0.098 [-0.147, -0.054]; sequential |C| change -0.114 [-0.162, -0.067], accuracy loss -0.076 [-0.116, -0.038]",Sequential refitting removes the same amount of dependence; the accuracy gain is smaller under sequential fitting. There is no harm for either protocol to explain.,
M09,MEASURED,the audited direction lies along hidden dimensions holding massive activations ... consistent with the damage,"P3 massive, p3_massive_summary.csv, p3_massive_coords_*.csv","massive coordinates identified on neutral calibration prompts (mean |activation| and input stability); after erasure the removed component is restored on those coordinates only, with random-coordinate and equal-energy restoration controls",p3_massive_summary.csv,as M07,160 test seeds per model,"Llama-3.1-8B: erased |C| change -0.044 [-0.072, -0.019], accuracy loss -0.152 [-0.203, -0.105]; massive coordinates restored: -0.043 [-0.071, -0.016], -0.155 [-0.208, -0.108]; restore-all identity check -0.009 [-0.020, +0.002] | Qwen2.5-7B: erased |C| change -0.076 [-0.146, -0.004], accuracy loss -0.019 [-0.060, +0.022]; massive coordinates restored: -0.085 [-0.156, -0.015], -0.025 [-0.066, +0.016]; restore-all identity check +0.007 [-0.016, +0.029] | Gemma-2-2B: erased |C| change -0.114 [-0.186, -0.044], accuracy loss -0.133 [-0.186, -0.083]; massive coordinates restored: -0.136 [-0.210, -0.063], -0.130 [-0.184, -0.075]; restore-all identity check +0.006 [-0.024, +0.035] | Phi-4-mini: erased |C| change -0.113 [-0.163, -0.059], accuracy loss -0.098 [-0.147, -0.054]; massive coordinates restored: -0.127 [-0.180, -0.069], -0.085 [-0.133, -0.041]; restore-all identity check +0.003 [-0.022, +0.029]","Restoring the massive-activation coordinates after erasure leaves both the |C| reduction and the accuracy change unchanged, so those coordinates carry no part of the effect at the demographic span. The massive-activation explanation of the original paper is not supported and must not be claimed; coordinate overlap may be reported as descriptive only.",
M10,MEASURED,"The damage can be anticipated: the audit score alone separates the items erasure cannot repair, AUC 0.85 to 0.93","P4, results/v2/p4_forecast_metrics.csv, p4_incremental_tests.csv, p4_report.md","per-prompt forecast of NEW generation errors after the frozen edit (rank 1, alpha 1) among prompts the unedited model answered correctly; GroupKFold on DEV seeds, one evaluation on TEST seeds; predictors: base rate, pre-edit margin/entropy/benchmark/length, audit score alone, baseline plus audit",p4_forecast_metrics.csv; p4_incremental_tests.csv,"AUROC; paired seed-cluster bootstrap of the AUROC difference, 95%% interval","TEST prompts initially correct, per model","Llama-3.1-8B: AUROC(baseline+audit) - AUROC(baseline) = +0.001 [-0.061, +0.056]; audit-only AUROC 0.506, baseline AUROC 0.654, prevalence 0.042 | Qwen2.5-7B: AUROC(baseline+audit) - AUROC(baseline) = +0.002 [-0.010, +0.011]; audit-only AUROC 0.622, baseline AUROC 0.733, prevalence 0.051 | Gemma-2-2B: AUROC(baseline+audit) - AUROC(baseline) = +0.002 [+0.000, +0.006]; audit-only AUROC 0.622, baseline AUROC 0.648, prevalence 0.068 | Phi-4-mini: AUROC(baseline+audit) - AUROC(baseline) = -0.009 [-0.024, +0.001]; audit-only AUROC 0.570, baseline AUROC 0.704, prevalence 0.036",The audit score adds no held-out prediction of post-edit errors beyond a cheap confidence-and-length baseline on any model. The forecast contribution is removed; the original AUC values were the separation of an audit-defined target from itself and must not be reported.,
