claim_id,manuscript_quote,location,actual_intervention,supporting_output,metric_formula,eligible_n,interval,status,permitted_wording,note
C01,it removes 39 to 59 per cent of the targeted signal,Abstract; Sec 1; Sec 5.2,"orthogonal projection of a centred-difference SVD basis at the demographic position, every layer, operating rank per model","reanalysis_v2/metric_audit.csv (pooled, is_operating_rank)",shipped: W = mean(|C_post| < |C_pre|); magnitude: R = 1 - mean(post)/mean(pre); primary: D = mean(post - pre),1000 pairs / 508 seeds per model (sweep),"R 95%% seed-cluster CI: Llama-3.1-8B [+15.5, +27.1]; Qwen2.5-7B [+16.6, +28.2]; Gemma-2-2B [+5.5, +21.1]; Phi-4-mini [-21.5, +0.6]",UNSUPPORTED,The edit lowered |C| on Llama-3.1-8B 56%; Qwen2.5-7B 58%; Gemma-2-2B 49%; Phi-4-mini 39% of pairs (directional win rate). Mean |C| changed by Llama-3.1-8B +21.5%; Qwen2.5-7B +22.9%; Gemma-2-2B +13.7%; Phi-4-mini -9.2%. Paired absolute change D: Llama-3.1-8B -0.113; Qwen2.5-7B -0.237; Gemma-2-2B -0.071; Phi-4-mini +0.054.,W is not a fraction of signal. On Phi the mean magnitude rose and the D interval spans zero.
C02,provably removes most of the causal dependence,Sec 5.2,"erase.project_out: orthogonal projection, frozen basis fitted on unedited activations; not the covariance-aware affine LEACE eraser; no held-out linear-probe test run",Code/CURE/erase.py; reanalysis_v2/metric_audit.csv,no proof exists; W at operating rank = Llama-3.1-8B 0.56; Qwen2.5-7B 0.58; Gemma-2-2B 0.49; Phi-4-mini 0.39,n/a,n/a,UNSUPPORTED,Remove 'provably'. Call the estimator counterfactual-difference subspace projection. A LEACE guarantee may be claimed only after P2 runs the official concept-erasure code.,
C03,the removal transfers to seeds the subspace was not fitted on,Abstract; Sec 5.2,"subspace fitted on a seed-split train half (run_tacl_extra.split_by_seed), scored on 600 test pairs; operating rank imported from the earlier run",reanalysis_v2/metric_audit_heldout.csv,"W stored; R from stored means (no per-pair rows, no CI)",600 pairs per model,not computable (means only),PARTIAL,On held-out seeds the win rate was Llama-3.1-8B 55%; Qwen2.5-7B 55%; Gemma-2-2B 48%; Phi-4-mini 43% and the mean |C| changed by Llama-3.1-8B +29.4%; Qwen2.5-7B +19.1%; Gemma-2-2B +0.5%; Phi-4-mini -61.6%. On Gemma the mean change is nil and on Phi the mean magnitude rose.,Operating rank was selected on a sweep that shares seeds with the test split (see C08).
C04,Task accuracy falls by 0.16 to 0.58,Abstract; Sec 5.2; Table 4,"erase.ErasureContext: projection of the LAST token at every layer during generation (a different edit site from the audit, which edits the demographic position)",tacl_extra_<model>.parquet (behav_accuracy); reanalysis_v2/raw_archive_search.json,"accuracy conditional on success_flag==True, bidirectional substring match to gold",n_acc_seeds = 160 attempted; usable denominator not stored,not computable (no raw outputs),REQUIRES_RERUN,"Under a last-token projection, conditional accuracy was Llama-3.1-8B 0.544; Qwen2.5-7B 0.000; Gemma-2-2B 0.317; Phi-4-mini 0.438; the attempted-versus-usable denominators were not stored.",Direction plausible; magnitude and denominators require the P1/P2 rerun with raw outputs.
C05,the rate at which answers flip under a demographic swap rises rather than falls [on all four models],Abstract; Sec 5.2; Table 4,same last-token edit; flip = seeds with >=2 parsed variants whose parsed answers differ,"tacl_extra_<model>.parquet (behav_flip_rate, n_flip_seeds)",mean over seeds with >=2 successfully parsed variants of 1[nunique(parsed) > 1],n_flip_seeds = Llama-3.1-8B 160; Qwen2.5-7B 3; Gemma-2-2B 160; Phi-4-mini 160,not computable,UNSUPPORTED,"On Qwen the flip rate rests on 3 usable seeds against 160 unedited; it cannot support a rise. On the other three models (n=160/160/160) the observed flip rate was higher than unedited, with denominators conditional on parse success.",The loss of usable outputs is itself an outcome and must be reported as failure.
C06,on two models it lies along hidden dimensions holding input-agnostic massive activations,Abstract; Sec 5.3,cmd_diagnose: top-5 variance coordinates at one middle layer; peak coordinate of each SVD direction checked for membership,Code/CURE/results/anomaly_diagnostic.json,hits_massive_dim = argmax|v| in top-5 Var(A) dims,"150 pairs, 2 models",n/a,PARTIAL,"On Qwen and Phi the leading direction's peak coordinate coincides with a high-variance residual dimension at one middle layer. Whether that dimension carries an input-agnostic massive activation, and whether it explains the damage, was not tested.",Variance is not input-independence. P3 restoration control is PLANNED.
C07,"the audit score alone separates the items erasure cannot repair, with area under the curve between 0.85 and 0.93, and the separation holds on held-out seeds",Abstract; Sec 5.4; Table 6,target = first tested rank at which the FIRST pair's erased |C| <= TAU; no rank 0; sentinel 9; class = repair_rank >= 8 (mixes rank-8 successes with never-repaired),reanalysis_v2/prognosis_reproduction.csv; prognosis_rebuilt.csv; prognosis_rebuilt_heldout.csv,AUROC(audit_score -> target); rebuilt with rank 0 and all pairs; one fixed manifest split,508 seeds per model; initially failing: Llama-3.1-8B 105; Qwen2.5-7B 205; Gemma-2-2B 89; Phi-4-mini 113,"held-out test AUROC (never_repaired, initially failing, mean_pair): Llama-3.1-8B 0.70 (Brier 0.209 vs base 0.191); Qwen2.5-7B 0.73 (Brier 0.222 vs base 0.255); Gemma-2-2B 0.57 (Brier 0.234 vs base 0.196); Phi-4-mini 0.75 (Brier 0.103 vs base 0.093)",UNSUPPORTED,"Across all seeds the audit score separates seeds already below TAU from the rest (Llama-3.1-8B 0.93; Qwen2.5-7B 0.86; Gemma-2-2B 0.93; Phi-4-mini 0.85), which is mechanical. Among initially failing seeds it separates never-repaired seeds with held-out AUROC Llama-3.1-8B 0.70; Qwen2.5-7B 0.73; Gemma-2-2B 0.57; Phi-4-mini 0.75, and on two models no better than the base rate by Brier score. The target is audit-threshold crossing, not behavioural damage.","A damage forecast is P4, PLANNED, and needs P2 raw outputs."
C08,Four disjoint roles are drawn from the counterfactual pool,Sec 4,"cmd_main: fit = stratified_subset(pairs, 600, seed); sweep = stratified_subset(pairs, 1000, same seed) -> fit is a prefix-subset of sweep; cmd_baselines eval uses seed+7 with no exclusion of fit seeds; tacl_extra split_by_seed is seed-disjoint but imports the operating rank chosen on the sweep",reanalysis_v2/stage_overlap.csv; data_integrity.csv (NOTE_reconstruction),"set containment on (seed_id, subvariant_A, subvariant_B)",fit 600 pairs in sweep 1000: 600 shared (structural),n/a,UNSUPPORTED,The subspace was fitted on 600 pairs that are all contained in the 1000-pair sweep used for rank selection and prognosis. The exact fitting set was not recorded. P2 uses reanalysis_v2/split_manifest.csv with asserted zero intersection.,Replayed cross-stage seed overlaps are illustrative only; run-time order not recoverable.
C09,Eight published debiasing methods provide context,Sec 4; Table 3 / B.1,"prompt_debias: empty basis, never generated -> 0/0 assigned; fairsteer: mean-diff direction projected out, no probe gating; meandiff_steer: SVD projection when ctx given, not additive steering; nofreelunch: unembedding direction projected out; biasgym/sae_debias/hsal: in-house re-implementations on separate templates",Code/CURE/baselines.py; cure_final_<model>.parquet,each scored by W and by conditional accuracy drop,9 rows per model,n/a,UNSUPPORTED,Compared against in-house projection ablations named after the papers that inspired them; the Self-Debias row was not executed. Replace with faithful controls (P2) or rename as ablations.,
C12,Held-out evaluation on 160 seeds per model,Table 4 caption,as C05,tacl_extra_<model>.parquet,"n_acc_seeds, n_flip_seeds per row",Qwen CURE flip: n_flip_seeds = 3,n/a,UNSUPPORTED,State attempted and usable counts per cell. The Qwen CURE flip cell has 3 usable seeds.,
