seed_id,seed_source,seed_category,seed_subcategory,gold_unknown_fallback,split,n_pairs_llama-3.1-8b-instruct,n_pairs_qwen2.5-7b-instruct,n_pairs_gemma-2-2b-it,n_pairs_phi-4-mini-instruct
bbq_00dd6566,bbq,socioeconomic,,False,test,10,10,10,10
bbq_013e73bf,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_0594acac,bbq,religion,,False,fit,10,10,10,10
bbq_074508ce,bbq,gender,,False,fit,10,10,10,10
bbq_07e64293,bbq,socioeconomic,,False,fit,10,10,10,10
bbq_08ae073d,bbq,age,,False,test,10,10,10,10
bbq_0b2b4c6e,bbq,gender,,False,test,10,10,10,10
bbq_0e10545b,bbq,gender,,False,test,10,10,10,10
bbq_0e37ed71,bbq,age,,False,test,10,10,10,10
bbq_0fb03ad6,bbq,age,,False,dev,10,10,10,10
bbq_106de616,bbq,physical_appearance,,False,fit,6,6,6,6
bbq_118dc715,bbq,gender,,False,fit,10,10,10,10
bbq_1276ea54,bbq,physical_appearance,,False,test,10,10,10,10
bbq_165c42db,bbq,disability,,False,fit,10,10,10,10
bbq_16d28504,bbq,religion,,False,dev,10,10,10,10
bbq_16d6bf66,bbq,disability,,False,fit,6,6,6,6
bbq_177ecfda,bbq,age,,False,test,6,6,6,6
bbq_18f81589,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_1946ba6d,bbq,nationality,,True,fit,6,6,6,6
bbq_1a3899fa,bbq,physical_appearance,,False,test,10,10,10,10
bbq_1bc3d48d,bbq,age,,False,fit,10,10,10,10
bbq_1e78b8b0,bbq,physical_appearance,,False,dev,6,6,6,6
bbq_20e21a2d,bbq,gender,,False,test,10,10,10,10
bbq_25266114,bbq,socioeconomic,,False,fit,6,6,6,6
bbq_25934b81,bbq,nationality,,False,fit,6,6,6,6
bbq_2672bc50,bbq,disability,,False,test,10,10,10,10
bbq_26a71438,bbq,disability,,False,test,10,10,10,10
bbq_26fdea2c,bbq,nationality,,False,test,6,6,6,6
bbq_281ba38c,bbq,socioeconomic,,False,test,6,6,6,6
bbq_28230fd0,bbq,sexual_orientation,,False,fit,6,6,6,6
bbq_28416d64,bbq,race,,False,fit,10,10,10,10
bbq_2926d289,bbq,physical_appearance,,False,test,6,6,6,6
bbq_297a1dae,bbq,nationality,,False,dev,10,10,10,10
bbq_297eae36,bbq,gender,,False,dev,10,10,10,10
bbq_2a505e69,bbq,religion,,False,fit,6,6,6,6
bbq_2a972ee7,bbq,gender,,False,dev,10,10,10,10
bbq_2b4c8a92,bbq,nationality,,False,fit,6,6,6,6
