example_id_A,example_id_B,kind,category,question_index,reason
0,12,invariance,Age,1,entity_overlap_not_one
0,16,invariance,Age,1,entity_overlap_not_one
0,20,invariance,Age,1,context_diff_not_single_span
0,24,invariance,Age,1,context_diff_not_single_span
0,28,invariance,Age,1,entity_overlap_not_one
4,8,invariance,Age,1,entity_overlap_not_one
4,16,invariance,Age,1,context_diff_not_single_span
4,20,invariance,Age,1,entity_overlap_not_one
4,24,invariance,Age,1,entity_overlap_not_one
4,28,invariance,Age,1,context_diff_not_single_span
8,4,invariance,Age,1,entity_overlap_not_one
8,16,invariance,Age,1,context_diff_not_single_span
8,20,invariance,Age,1,entity_overlap_not_one
8,24,invariance,Age,1,entity_overlap_not_one
8,28,invariance,Age,1,context_diff_not_single_span
12,0,invariance,Age,1,entity_overlap_not_one
12,16,invariance,Age,1,entity_overlap_not_one
12,20,invariance,Age,1,context_diff_not_single_span
12,24,invariance,Age,1,context_diff_not_single_span
12,28,invariance,Age,1,entity_overlap_not_one
16,0,invariance,Age,1,entity_overlap_not_one
16,4,invariance,Age,1,context_diff_not_single_span
16,8,invariance,Age,1,context_diff_not_single_span
16,12,invariance,Age,1,entity_overlap_not_one
16,20,invariance,Age,1,duplicate_descriptor_triple_in_template
16,24,invariance,Age,1,duplicate_descriptor_triple_in_template
16,28,invariance,Age,1,entity_overlap_not_one
20,0,invariance,Age,1,context_diff_not_single_span
20,4,invariance,Age,1,entity_overlap_not_one
20,8,invariance,Age,1,entity_overlap_not_one
20,12,invariance,Age,1,context_diff_not_single_span
20,16,invariance,Age,1,duplicate_descriptor_triple_in_template
20,24,invariance,Age,1,entity_overlap_not_one
20,28,invariance,Age,1,duplicate_descriptor_triple_in_template
24,0,invariance,Age,1,context_diff_not_single_span
24,4,invariance,Age,1,entity_overlap_not_one
24,8,invariance,Age,1,entity_overlap_not_one
24,12,invariance,Age,1,context_diff_not_single_span
24,16,invariance,Age,1,duplicate_descriptor_triple_in_template
24,20,invariance,Age,1,entity_overlap_not_one
24,28,invariance,Age,1,duplicate_descriptor_triple_in_template
28,0,invariance,Age,1,entity_overlap_not_one
28,4,invariance,Age,1,context_diff_not_single_span
28,8,invariance,Age,1,context_diff_not_single_span
28,12,invariance,Age,1,entity_overlap_not_one
28,16,invariance,Age,1,entity_overlap_not_one
28,20,invariance,Age,1,duplicate_descriptor_triple_in_template
28,24,invariance,Age,1,duplicate_descriptor_triple_in_template
2,14,invariance,Age,1,entity_overlap_not_one
2,18,invariance,Age,1,entity_overlap_not_one
2,22,invariance,Age,1,context_diff_not_single_span
2,26,invariance,Age,1,context_diff_not_single_span
2,30,invariance,Age,1,entity_overlap_not_one
6,10,invariance,Age,1,entity_overlap_not_one
6,18,invariance,Age,1,context_diff_not_single_span
6,22,invariance,Age,1,entity_overlap_not_one
6,26,invariance,Age,1,entity_overlap_not_one
6,30,invariance,Age,1,context_diff_not_single_span
10,6,invariance,Age,1,entity_overlap_not_one
10,18,invariance,Age,1,context_diff_not_single_span
10,22,invariance,Age,1,entity_overlap_not_one
10,26,invariance,Age,1,entity_overlap_not_one
10,30,invariance,Age,1,context_diff_not_single_span
14,2,invariance,Age,1,entity_overlap_not_one
14,18,invariance,Age,1,entity_overlap_not_one
14,22,invariance,Age,1,context_diff_not_single_span
14,26,invariance,Age,1,context_diff_not_single_span
14,30,invariance,Age,1,entity_overlap_not_one
18,2,invariance,Age,1,entity_overlap_not_one
18,6,invariance,Age,1,context_diff_not_single_span
18,10,invariance,Age,1,context_diff_not_single_span
18,14,invariance,Age,1,entity_overlap_not_one
18,22,invariance,Age,1,duplicate_descriptor_triple_in_template
18,26,invariance,Age,1,duplicate_descriptor_triple_in_template
18,30,invariance,Age,1,entity_overlap_not_one
22,2,invariance,Age,1,context_diff_not_single_span
22,6,invariance,Age,1,entity_overlap_not_one
22,10,invariance,Age,1,entity_overlap_not_one
22,14,invariance,Age,1,context_diff_not_single_span
22,18,invariance,Age,1,duplicate_descriptor_triple_in_template
22,26,invariance,Age,1,entity_overlap_not_one
22,30,invariance,Age,1,duplicate_descriptor_triple_in_template
26,2,invariance,Age,1,context_diff_not_single_span
26,6,invariance,Age,1,entity_overlap_not_one
26,10,invariance,Age,1,entity_overlap_not_one
26,14,invariance,Age,1,context_diff_not_single_span
26,18,invariance,Age,1,duplicate_descriptor_triple_in_template
26,22,invariance,Age,1,entity_overlap_not_one
26,30,invariance,Age,1,duplicate_descriptor_triple_in_template
30,2,invariance,Age,1,entity_overlap_not_one
30,6,invariance,Age,1,context_diff_not_single_span
30,10,invariance,Age,1,context_diff_not_single_span
30,14,invariance,Age,1,entity_overlap_not_one
30,18,invariance,Age,1,entity_overlap_not_one
30,22,invariance,Age,1,duplicate_descriptor_triple_in_template
30,26,invariance,Age,1,duplicate_descriptor_triple_in_template
976,992,invariance,Age,12,entity_overlap_not_one
976,996,invariance,Age,12,entity_overlap_not_one
976,1004,invariance,Age,12,entity_overlap_not_one
976,1008,invariance,Age,12,entity_overlap_not_one
976,1016,invariance,Age,12,entity_overlap_not_one
976,1020,invariance,Age,12,entity_overlap_not_one
976,1024,invariance,Age,12,entity_overlap_not_one
976,1028,invariance,Age,12,entity_overlap_not_one
976,1032,invariance,Age,12,entity_overlap_not_one
976,1036,invariance,Age,12,entity_overlap_not_one
976,1040,invariance,Age,12,entity_overlap_not_one
976,1044,invariance,Age,12,entity_overlap_not_one
976,1048,invariance,Age,12,entity_overlap_not_one
976,1052,invariance,Age,12,entity_overlap_not_one
976,1056,invariance,Age,12,entity_overlap_not_one
976,1060,invariance,Age,12,entity_overlap_not_one
976,1064,invariance,Age,12,entity_overlap_not_one
976,1068,invariance,Age,12,entity_overlap_not_one
980,988,invariance,Age,12,entity_overlap_not_one
980,996,invariance,Age,12,entity_overlap_not_one
980,1000,invariance,Age,12,entity_overlap_not_one
980,1008,invariance,Age,12,entity_overlap_not_one
980,1012,invariance,Age,12,entity_overlap_not_one
980,1020,invariance,Age,12,entity_overlap_not_one
980,1024,invariance,Age,12,entity_overlap_not_one
980,1028,invariance,Age,12,entity_overlap_not_one
980,1032,invariance,Age,12,entity_overlap_not_one
980,1036,invariance,Age,12,entity_overlap_not_one
980,1040,invariance,Age,12,entity_overlap_not_one
980,1044,invariance,Age,12,entity_overlap_not_one
980,1048,invariance,Age,12,entity_overlap_not_one
980,1052,invariance,Age,12,entity_overlap_not_one
980,1056,invariance,Age,12,entity_overlap_not_one
980,1060,invariance,Age,12,entity_overlap_not_one
980,1064,invariance,Age,12,entity_overlap_not_one
980,1068,invariance,Age,12,entity_overlap_not_one
984,988,invariance,Age,12,entity_overlap_not_one
984,992,invariance,Age,12,entity_overlap_not_one
984,1000,invariance,Age,12,entity_overlap_not_one
984,1004,invariance,Age,12,entity_overlap_not_one
984,1012,invariance,Age,12,entity_overlap_not_one
984,1016,invariance,Age,12,entity_overlap_not_one
984,1024,invariance,Age,12,entity_overlap_not_one
