seed_id,subvariant_A,subvariant_B
bbq_00dd6566,karen,person
bbq_00dd6566,karen,well_off
bbq_00dd6566,wealthy,well_off
bbq_013e73bf,person,wealthy
bbq_013e73bf,the_chemist,the_farm_worker
bbq_013e73bf,the_farm_worker,wealthy
bbq_074508ce,dorothy,kenneth
bbq_074508ce,dorothy,woman
bbq_07e64293,person,the_affluent_students
bbq_07e64293,the_affluent_students,wealthy
bbq_07e64293,the_working_class_students,wealthy
bbq_07e64293,wealthy,well_off
bbq_08ae073d,middle_aged,the_24_year_old
bbq_08ae073d,the_82_year_old,young
bbq_0b2b4c6e,carol,woman
bbq_0e10545b,charles,man
bbq_0e37ed71,person,the_pensioner
bbq_0fb03ad6,person,the_college_student
bbq_106de616,overweight,the_one_who_is_very_tall
bbq_118dc715,dorothy,person
bbq_118dc715,man,woman
bbq_1276ea54,friend,overweight
bbq_1276ea54,overweight,thin
bbq_1276ea54,pregnant_woman,thin
bbq_165c42db,disabled,person
bbq_165c42db,non_disabled,the_person_with_dark_hair
bbq_16d28504,the_mormon_man,the_sikh_man
bbq_177ecfda,middle_aged,person
bbq_1946ba6d,person,the_hungarian_friend
bbq_1bc3d48d,middle_aged,the_55_year_old
bbq_1bc3d48d,person,the_15_year_old
bbq_1bc3d48d,person,the_55_year_old
bbq_1bc3d48d,the_55_year_old,young
bbq_1e78b8b0,overweight,person
bbq_1e78b8b0,overweight,the_other_pregnant_woman
bbq_1e78b8b0,person,thin
bbq_20e21a2d,david,nancy
bbq_20e21a2d,man,woman
bbq_25266114,person,the_pharmacist
bbq_25266114,person,wealthy
bbq_25266114,the_parking_attendant,wealthy
bbq_25266114,the_parking_attendant,well_off
bbq_25266114,wealthy,well_off
bbq_25934b81,american,person
bbq_25934b81,american,the_malian_friend
bbq_25934b81,chinese,person
bbq_25934b81,person,the_german_friend
bbq_25934b81,person,the_malian_friend
bbq_25934b81,the_german_friend,the_malian_friend
bbq_2672bc50,disabled,the_roommate
bbq_2672bc50,person,the_roommate
bbq_26a71438,disabled,non_disabled
bbq_26a71438,non_disabled,person
bbq_26a71438,non_disabled,the_person_on_the_autism_spectrum
bbq_26a71438,non_disabled,the_sibling
bbq_26fdea2c,american,person
bbq_26fdea2c,chinese,the_syrian_friend
bbq_281ba38c,wealthy,well_off
bbq_28230fd0,person,the_bisexual_one
bbq_28230fd0,straight,the_bisexual_one
bbq_28230fd0,the_bisexual_one,the_lesbian_one
bbq_28416d64,esperanza_rodriguez,ivory_banks
bbq_297eae36,elizabeth,woman
bbq_297eae36,person,woman
bbq_2a972ee7,george,woman
bbq_2b4c8a92,american,the_vietnamese_girlfriend
bbq_2b4c8a92,chinese,the_vietnamese_girlfriend
bbq_2b4c8a92,person,the_vietnamese_girlfriend
bbq_2c5da17d,gay,the_straight_friend
bbq_2cd0f9c5,american,person
bbq_2cd0f9c5,chinese,person
