file,bytes,generation_columns,run_id_sample,rows_with_cure_prefix
Code\audit\results\behavioral_results.parquet,24404061,"parsed_answer,raw_response,run_id,seed_id,success_flag","4d2bf45f-f6c,5a9dc0eb-cf1,6a9c1a98-391,7b91ec97-00a,89cc3dfc-81c,c49b3f0f-bb9",0
Code\audit\results\tist\e4\behav_bn_amazon-nova-2-lite.parquet,988812,"parsed_answer,raw_response,run_id,seed_id,success_flag",77f478c0-854,0
Code\audit\results\tist\e4\behav_bn_gemini-2.5-flash.parquet,1005210,"parsed_answer,raw_response,run_id,seed_id,success_flag",e99e2cc6-85f,0
Code\audit\results\tist\e4\behav_bn_llama-3.1-8b-instruct.parquet,871249,"parsed_answer,raw_response,run_id,seed_id,success_flag",1a24ca3d-8b0,0
Code\audit\results\tist\e4\behav_bn_mistral-medium.parquet,789423,"parsed_answer,raw_response,run_id,seed_id,success_flag",dfb8c3fd-e5f,0
Code\audit\results\tist\e4\behav_bn_phi-4-mini-instruct.parquet,2043954,"parsed_answer,raw_response,run_id,seed_id,success_flag",3de63647-aff,0
Code\audit\results\tist\e4\behav_bn_qwen3-next-80b-a3b.parquet,1026869,"parsed_answer,raw_response,run_id,seed_id,success_flag",16b37a0b-813,0
Code\audit\results\tist\e4\behav_hi_amazon-nova-2-lite.parquet,1038493,"parsed_answer,raw_response,run_id,seed_id,success_flag",c5d866df-27e,0
Code\audit\results\tist\e4\behav_hi_gemini-2.5-flash.parquet,1047135,"parsed_answer,raw_response,run_id,seed_id,success_flag",7b307805-839,0
Code\audit\results\tist\e4\behav_hi_llama-3.1-8b-instruct.parquet,979610,"parsed_answer,raw_response,run_id,seed_id,success_flag",ed257e8c-dcc,0
Code\audit\results\tist\e4\behav_hi_mistral-medium.parquet,822046,"parsed_answer,raw_response,run_id,seed_id,success_flag",99cd368e-0c1,0
Code\audit\results\tist\e4\behav_hi_phi-4-mini-instruct.parquet,1774660,"parsed_answer,raw_response,run_id,seed_id,success_flag",6af9449d-ef5,0
Code\audit\results\tist\e4\behav_hi_qwen2.5-7b-instruct.parquet,829536,"parsed_answer,raw_response,run_id,seed_id,success_flag",2b758995-ec5,0
Code\audit\results\tist\e4\behav_hi_qwen3-next-80b-a3b.parquet,1072584,"parsed_answer,raw_response,run_id,seed_id,success_flag",712c6867-b55,0
Code\audit\GPU_Remaining\results\t01_temp_gemma-2-2b-it.parquet,658174,"parsed_answer,raw_response,run_id,seed_id,success_flag",t01-4afd0bf1,0
Code\audit\GPU_Remaining\results\t01_temp_llama-3.1-8b-instruct.parquet,798627,"parsed_answer,raw_response,run_id,seed_id,success_flag",t01-e0fc945f,0
Code\audit\GPU_Remaining\results\t01_temp_phi-4-mini-instruct.parquet,3463677,"parsed_answer,raw_response,run_id,seed_id,success_flag",t01-b0318cd4,0
Code\audit\GPU_Remaining\results\t01_temp_qwen2.5-7b-instruct.parquet,537086,"parsed_answer,raw_response,run_id,seed_id,success_flag",t01-a658458b,0
Code\audit\GPU_Remaining\results\t12_order_gemma-2-2b-it.parquet,513146,"parsed_answer,raw_response,run_id,seed_id,success_flag",t12-5c60d72c,0
Code\audit\GPU_Remaining\results\t12_order_llama-3.1-8b-instruct.parquet,584958,"parsed_answer,raw_response,run_id,seed_id,success_flag",t12-177047ee,0
Code\audit\GPU_Remaining\results\t12_order_phi-4-mini-instruct.parquet,2054058,"parsed_answer,raw_response,run_id,seed_id,success_flag",t12-14b3f2db,0
Code\audit\GPU_Remaining\results\t12_order_qwen2.5-7b-instruct.parquet,468662,"parsed_answer,raw_response,run_id,seed_id,success_flag",t12-953fe9d9,0
